,value,count
661,stakes (tools),3
662,clinical diagnosis,3
663,tongue scraper,3
664,enema tube,3
665,epilepsy,3
666,transplant,3
667,tooth powder,3
668,Using the dead,3
669,saline,2
670,anthropomorphic,2
671,ceremonial sword,2
672,jacket,2
673,leprosy,2
674,trade,2
675,spout - container component,2
676,chewing stick,2
677,tooth shade guide,2
678,cauterise,2
679,ovariotomy,2
680,scarification,2
681,calotype process,2
682,admission ticket,2
683,intubation set,2
684,transcranial magnetic stimulator,2
685,votive tongue,2
686,intubation,2
687,intraocular lens,2
688,knee replacement,2
689,self-injector,2
690,anatomical model,2
691,toxin,2
692,optician,2
693,scraper,2
694,optical puzzle,2
695,chamber pot,2
696,acupuncture,2
697,chain - object genre,2
698,scalp,2
699,scales - weighing device,2
700,optometer,2
701,votive hair,2
702,card game - game set,2
703,anaemia,2
704,label,2
705,prolapse,2
706,saw,2
707,trachea,2
708,character doll,2
709,jars,2
710,charity,2
711,key - hardware,2
712,votive finger,2
713,anastomosis,2
714,cap - headgear,2
715,eye phantom,2
716,bumper sticker,2
717,aspirating needle,2
718,morphine,2
719,reed pens,2
720,mole foot,2
721,nose ring,2
722,betel-nut cutter,2
723,astigmatism,2
724,unguent,2
725,lithotome,2
726,midwifery,2
727,asphyxia,2
728,microsurgery,2
729,microscope,2
730,ultraviolet lamps,2
731,ultraviolet lamp,2
732,nitrous oxide,2
733,urine director,2
734,mould,2
735,mourning,2
736,bath,2
737,uterine dilator,2
738,asylum,2
739,baptism,2
740,uvula forceps,2
741,music,2
742,nail,2
743,rasp,2
744,narcotic,2
745,natural dye,2
746,natural phenomena,2
747,badge,2
748,nerve stimulation,2
749,vertebrae,2
750,ulcer,2
751,nursing,2
752,arthritis,2
753,tray,2
754,bulb,2
755,apron,2
756,ointment pot,2
757,trephination set,2
758,ring - object genre,2
759,long-sightedness,2
760,arnica,2
761,truss,2
762,magnifying glass,2
763,tube,2
764,rigor mortis,2
765,volvelle,2
766,manofica,2
767,articulated,2
768,typhus,2
769,booklet,2
770,massaging device,2
771,retinal detachment,2
772,bone-chisel,2
773,twins,2
774,measuring cylinder,2
775,mechanical leech,2
776,medical education,2
777,reproduction,2
